Longitude,Latitude,datetime,UHI Index
-73.91903667,40.81429167,24-07-2021 15:53,1.034616333
-73.91897833,40.814365,24-07-2021 15:53,1.028125188
-73.91892667,40.81443333,24-07-2021 15:53,1.028125188
-73.918875,40.8145,24-07-2021 15:53,1.025961473
-73.91882667,40.81456,24-07-2021 15:53,1.025961473
-73.918785,40.81460167,24-07-2021 15:53,1.023797758
-73.91875,40.81463333,24-07-2021 15:53,1.023797758
-73.91872333,40.81465333,24-07-2021 15:53,1.026081679
-73.91865667,40.81467667,24-07-2021 15:53,1.023917965
-73.91863167,40.81467,24-07-2021 15:53,1.023917965
-73.91854833,40.81467667,24-07-2021 15:53,1.023917965
-73.91848333,40.81469667,24-07-2021 15:53,1.026081679
-73.91843333,40.814725,24-07-2021 15:53,1.026081679
-73.918335,40.814795,24-07-2021 15:53,1.026081679
-73.918295,40.81482333,24-07-2021 15:53,1.026081679
-73.91827,40.814845,24-07-2021 15:53,1.023917965
-73.91824667,40.81486333,24-07-2021 15:53,1.023917965
-73.91813167,40.81500167,24-07-2021 15:54,1.034736539
-73.91809667,40.81502667,24-07-2021 15:54,1.034736539
-73.91806,40.81504833,24-07-2021 15:54,1.039063969
-73.918015,40.81507333,24-07-2021 15:54,1.039063969
-73.91796833,40.8151,24-07-2021 15:54,1.039063969
-73.91791833,40.81512833,24-07-2021 15:54,1.039063969
-73.91786667,40.81514333,24-07-2021 15:54,1.039063969
-73.91781833,40.81515,24-07-2021 15:54,1.039063969
-73.91776167,40.815135,24-07-2021 15:54,1.045555113
-73.91769833,40.81510833,24-07-2021 15:54,1.043391399
-73.91722333,40.81541333,24-07-2021 15:54,1.045555113
-73.91716167,40.81544833,24-07-2021 15:54,1.039063969
-73.91711333,40.81548167,24-07-2021 15:54,1.039063969
-73.91707667,40.81552,24-07-2021 15:54,1.039063969
-73.91699833,40.81556667,24-07-2021 15:54,1.039063969
-73.916965,40.81557667,24-07-2021 15:54,1.039063969
-73.91692833,40.81559333,24-07-2021 15:54,1.039063969
-73.91689333,40.815615,24-07-2021 15:54,1.039063969
-73.91685667,40.81563333,24-07-2021 15:54,1.039063969
-73.91681667,40.81567,24-07-2021 15:54,1.036900254
-73.91679167,40.815715,24-07-2021 15:54,1.036900254
-73.91670167,40.81575,24-07-2021 15:54,1.036900254
-73.91662167,40.81579167,24-07-2021 15:54,1.036900254
-73.91653333,40.81583,24-07-2021 15:54,1.032572824
-73.91644667,40.81586,24-07-2021 15:54,1.032572824
-73.91638833,40.815895,24-07-2021 15:54,1.026081679
-73.91634167,40.81592833,24-07-2021 15:54,1.026081679
-73.91630667,40.81596,24-07-2021 15:54,1.028245394
-73.91627667,40.81598167,24-07-2021 15:54,1.028245394
-73.91622667,40.81604167,24-07-2021 15:54,1.024038171
-73.91618833,40.81608167,24-07-2021 15:54,1.026201886
-73.91612667,40.81612,24-07-2021 15:54,1.026201886
-73.91607333,40.81615333,24-07-2021 15:55,1.024038171
-73.91602,40.81618167,24-07-2021 15:55,1.024038171
-73.91598333,40.81620167,24-07-2021 15:55,1.026201886
-73.915955,40.81621833,24-07-2021 15:55,1.026201886
-73.91588167,40.81631833,24-07-2021 15:55,1.024038171
-73.91585167,40.81636167,24-07-2021 15:55,1.024038171
-73.915815,40.816395,24-07-2021 15:55,1.024038171
-73.915795,40.81643333,24-07-2021 15:55,1.021874456
-73.915765,40.81646333,24-07-2021 15:55,1.021874456
-73.91572667,40.81646,24-07-2021 15:55,1.017547026
-73.91569,40.81645167,24-07-2021 15:55,1.017547026
-73.91565667,40.81646167,24-07-2021 15:55,1.017547026
-73.9156,40.81651333,24-07-2021 15:55,1.017547026
-73.91554667,40.81657333,24-07-2021 15:55,1.015383311
-73.91549667,40.81663,24-07-2021 15:55,1.015383311
-73.91545,40.81668667,24-07-2021 15:55,1.015383311
-73.915335,40.81681333,24-07-2021 15:55,1.015383311
-73.91526,40.81688167,24-07-2021 15:55,1.013219597
-73.91519333,40.81694667,24-07-2021 15:55,1.013219597
-73.91511333,40.81699333,24-07-2021 15:55,1.011055882
-73.91503667,40.81702167,24-07-2021 15:55,1.011055882
-73.91499,40.81705333,24-07-2021 15:55,1.008892167
-73.91495167,40.81708333,24-07-2021 15:55,1.008892167
-73.91492,40.81712167,24-07-2021 15:55,1.008892167
-73.91486667,40.817155,24-07-2021 15:55,1.008892167
-73.914755,40.81724167,24-07-2021 15:55,1.008892167
-73.91469833,40.81729,24-07-2021 15:55,1.006728452
-73.91461833,40.81735667,24-07-2021 15:55,1.006728452
-73.91453833,40.817425,24-07-2021 15:55,1.004564737
-73.91444333,40.81750167,24-07-2021 15:55,1.004564737
-73.914355,40.817565,24-07-2021 15:55,1.004564737
-73.91426667,40.81762833,24-07-2021 15:55,1.004564737
-73.914175,40.81769167,24-07-2021 15:55,1.002401022
-73.91408167,40.81775333,24-07-2021 15:55,1.002401022
-73.914,40.81782,24-07-2021 15:55,1.000237307
-73.913915,40.81789167,24-07-2021 15:55,1.000237307
-73.91384167,40.81795,24-07-2021 15:55,1.000237307
-73.913785,40.81800667,24-07-2021 15:55,1.000237307
-73.91373833,40.81805,24-07-2021 15:55,1.000237307
-73.91370667,40.81807667,24-07-2021 15:55,1.000237307
-73.91361667,40.81813167,24-07-2021 15:55,1.000237307
-73.91358167,40.81812333,24-07-2021 15:55,1.000237307
-73.91354333,40.818105,24-07-2021 15:55,1.004564737
-73.91344833,40.81805667,24-07-2021 15:55,1.004564737
-73.9134,40.81803667,24-07-2021 15:55,1.008892167
-73.91336167,40.81802,24-07-2021 15:55,1.008892167
-73.91335,40.81801167,24-07-2021 15:55,1.008892167
-73.913295,40.817955,24-07-2021 15:56,1.011055882
-73.913295,40.81791333,24-07-2021 15:56,1.011176088
-73.91339833,40.81772333,24-07-2021 15:56,1.015503518
-73.91344333,40.81764833,24-07-2021 15:56,1.015503518
-73.91349,40.81757167,24-07-2021 15:56,1.011176088
-73.91353833,40.81749167,24-07-2021 15:56,1.011176088
-73.91358667,40.81741,24-07-2021 15:56,1.011176088
-73.913635,40.81732833,24-07-2021 15:56,1.011176088
-73.91368,40.81725167,24-07-2021 15:56,1.009012373
-73.91371667,40.81718167,24-07-2021 15:56,1.009012373
-73.91375167,40.81712,24-07-2021 15:56,1.011176088
-73.91378333,40.81707333,24-07-2021 15:56,1.011176088
-73.91380833,40.81703,24-07-2021 15:56,1.015503518
-73.91383,40.81699667,24-07-2021 15:56,1.015503518
-73.913845,40.81697833,24-07-2021 15:56,1.015503518
-73.91402,40.81663167,24-07-2021 15:56,1.009012373
-73.91406167,40.81656167,24-07-2021 15:56,1.009012373
-73.91410833,40.8165,24-07-2021 15:56,1.004684943
-73.91415667,40.81642667,24-07-2021 15:56,1.004684943
-73.91420333,40.81635167,24-07-2021 15:56,1.002521229
-73.91427167,40.81620333,24-07-2021 15:56,1.004684943
-73.914315,40.816135,24-07-2021 15:56,1.004684943
-73.914355,40.81605833,24-07-2021 15:56,1.002521229
-73.9144,40.81598167,24-07-2021 15:56,1.002521229
-73.91444167,40.81590167,24-07-2021 15:56,1.002521229
-73.914485,40.81583333,24-07-2021 15:56,1.002521229
-73.91452667,40.81576833,24-07-2021 15:56,1.000357514
-73.91456333,40.81571667,24-07-2021 15:56,1.000357514
-73.91458667,40.81567667,24-07-2021 15:56,1.000357514
-73.91471667,40.81553167,24-07-2021 15:57,1.022114869
-73.914735,40.8155,24-07-2021 15:57,1.015623724
-73.91476167,40.81546167,24-07-2021 15:57,1.015623724
-73.91479167,40.81541333,24-07-2021 15:57,1.019951154
-73.91482167,40.81535833,24-07-2021 15:57,1.019951154
-73.91485333,40.8153,24-07-2021 15:57,1.015623724
-73.91488667,40.81523667,24-07-2021 15:57,1.015623724
-73.91492333,40.81518167,24-07-2021 15:57,1.015623724
-73.91495333,40.81511,24-07-2021 15:57,1.015623724
-73.91498333,40.81503667,24-07-2021 15:57,1.019951154
-73.91501167,40.81496167,24-07-2021 15:58,1.019951154
-73.91504667,40.814885,24-07-2021 15:58,1.015623724
-73.91508167,40.81481167,24-07-2021 15:58,1.015623724
-73.91512167,40.81474,24-07-2021 15:58,1.017787439
-73.91516333,40.814685,24-07-2021 15:58,1.017787439
-73.9152,40.81463833,24-07-2021 15:58,1.019951154
-73.915225,40.81460667,24-07-2021 15:58,1.019951154
-73.91529833,40.81451333,24-07-2021 15:58,1.017787439
-73.91532667,40.81447,24-07-2021 15:58,1.017787439
-73.915355,40.81441333,24-07-2021 15:58,1.017787439
-73.91538333,40.81435,24-07-2021 15:58,1.017787439
-73.91542167,40.81427833,24-07-2021 15:58,1.015623724
-73.91547,40.81420333,24-07-2021 15:58,1.015743931
-73.91551667,40.81413167,24-07-2021 15:58,1.011416501
-73.91556,40.814055,24-07-2021 15:58,1.011416501
-73.915605,40.81398167,24-07-2021 15:58,1.015743931
-73.91564333,40.8139,24-07-2021 15:58,1.015743931
-73.91569,40.81381833,24-07-2021 15:58,1.013580216
-73.91573333,40.81373,24-07-2021 15:58,1.013580216
-73.91577667,40.81364833,24-07-2021 15:58,1.015743931
-73.91582833,40.81356333,24-07-2021 15:58,1.015743931
-73.915905,40.81339833,24-07-2021 15:58,1.015743931
-73.91594833,40.81331833,24-07-2021 15:58,1.015743931
-73.91598833,40.81323333,24-07-2021 15:58,1.015743931
-73.91603833,40.81314333,24-07-2021 15:58,1.015743931
-73.91607667,40.81305,24-07-2021 15:58,1.017907645
-73.91612167,40.81296333,24-07-2021 15:58,1.017907645
-73.91617167,40.81287667,24-07-2021 15:58,1.015743931
-73.91622,40.81278833,24-07-2021 15:58,1.015743931
-73.916365,40.81253833,24-07-2021 15:58,1.009252786
-73.91641167,40.812455,24-07-2021 15:59,1.009252786
-73.91644667,40.812365,24-07-2021 15:59,1.011416501
-73.91647667,40.812285,24-07-2021 15:59,1.011416501
-73.91651167,40.81220833,24-07-2021 15:59,1.009252786
-73.916585,40.81206,24-07-2021 15:59,1.009252786
-73.91664,40.81197833,24-07-2021 15:59,1.009252786
-73.91669167,40.81189667,24-07-2021 15:59,1.011416501
-73.916745,40.81181167,24-07-2021 15:59,1.011416501
-73.91678833,40.81173,24-07-2021 15:59,1.011416501
-73.91683333,40.81165333,24-07-2021 15:59,1.011416501
-73.91688333,40.81158333,24-07-2021 15:59,1.009252786
-73.91692667,40.81151333,24-07-2021 15:59,1.009252786
-73.91696333,40.81145,24-07-2021 15:59,1.011416501
-73.917,40.81139167,24-07-2021 15:59,1.011416501
-73.91703333,40.81133333,24-07-2021 15:59,1.015743931
-73.91706167,40.81127333,24-07-2021 15:59,1.015743931
-73.91709167,40.81122,24-07-2021 15:59,1.011416501
-73.91712833,40.81117,24-07-2021 15:59,1.011416501
-73.91716333,40.81112667,24-07-2021 15:59,1.011416501
-73.91719333,40.81108667,24-07-2021 15:59,1.011416501
-73.91722167,40.81104333,24-07-2021 15:59,1.015743931
-73.917275,40.81095167,24-07-2021 15:59,1.015743931
-73.91730667,40.81089333,24-07-2021 15:59,1.017907645
-73.91734333,40.81083,24-07-2021 15:59,1.017907645
-73.91737167,40.81078167,24-07-2021 15:59,1.017907645
-73.91739333,40.810725,24-07-2021 15:59,1.017907645
-73.91742667,40.81065667,24-07-2021 15:59,1.015743931
-73.91752,40.81053333,24-07-2021 15:59,1.015743931
-73.917555,40.81046833,24-07-2021 15:59,1.015743931
-73.917595,40.81041,24-07-2021 15:59,1.013580216
